"date","hits","keyword","geo","time","gprop","category"
2016-12-04,64,"high speed","US","2015-01-01 2019-12-31","web",0
2016-12-11,66,"high speed","US","2015-01-01 2019-12-31","web",0
2016-12-18,67,"high speed","US","2015-01-01 2019-12-31","web",0
2016-12-25,80,"high speed","US","2015-01-01 2019-12-31","web",0
2017-01-01,71,"high speed","US","2015-01-01 2019-12-31","web",0
2017-01-08,74,"high speed","US","2015-01-01 2019-12-31","web",0
2017-01-15,74,"high speed","US","2015-01-01 2019-12-31","web",0
2017-01-22,77,"high speed","US","2015-01-01 2019-12-31","web",0
2017-01-29,77,"high speed","US","2015-01-01 2019-12-31","web",0
2017-02-05,72,"high speed","US","2015-01-01 2019-12-31","web",0
2017-02-12,71,"high speed","US","2015-01-01 2019-12-31","web",0
2017-02-19,76,"high speed","US","2015-01-01 2019-12-31","web",0
2017-02-26,87,"high speed","US","2015-01-01 2019-12-31","web",0
2017-03-05,79,"high speed","US","2015-01-01 2019-12-31","web",0
2017-03-12,75,"high speed","US","2015-01-01 2019-12-31","web",0
2017-03-19,71,"high speed","US","2015-01-01 2019-12-31","web",0
2017-03-26,74,"high speed","US","2015-01-01 2019-12-31","web",0
2017-04-02,75,"high speed","US","2015-01-01 2019-12-31","web",0
2017-04-09,72,"high speed","US","2015-01-01 2019-12-31","web",0
2017-04-16,70,"high speed","US","2015-01-01 2019-12-31","web",0
2017-04-23,75,"high speed","US","2015-01-01 2019-12-31","web",0
2017-04-30,70,"high speed","US","2015-01-01 2019-12-31","web",0
2017-05-07,76,"high speed","US","2015-01-01 2019-12-31","web",0
2017-05-14,74,"high speed","US","2015-01-01 2019-12-31","web",0
2017-05-21,70,"high speed","US","2015-01-01 2019-12-31","web",0
2017-05-28,69,"high speed","US","2015-01-01 2019-12-31","web",0
2017-06-04,70,"high speed","US","2015-01-01 2019-12-31","web",0
2017-06-11,79,"high speed","US","2015-01-01 2019-12-31","web",0
2017-06-18,74,"high speed","US","2015-01-01 2019-12-31","web",0
